Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3927813,,0,495.89,0,4.55,BDBM192221,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(F)c(F)c1F,Ki,'=',0.15,nM,9.82,,344116,UO_0000065,19.81,0.39,5.27,9.58,FALSE,CHEMBL3887590,"Fluorescence Polarization (FP) Assay: Fluorescent polarization experiments were performed as follows. Briefly, the fluorescence polarization experiments were read on an Ultra Evolution 384-well plate reader (Tecan) with the 485 nm excitation and 535 nm emission filters. The fluorescence intensities parallel (Intparallel) and perpendicular (Intperpedicular) to the plane of excitation were measured in parallel perpendicular black 384-well NBS assay plates (Corning) at room temperature (20?? C). The background fluorescence intensities of blank samples containing the references buffer were subtracted and steady-state fluorescence polarization was calculated using the equation: P=(Intparallel Gintperpendicular)/(Intparallel+Gintperpendicular), and the correction factor G (G=0.998 determined empirically) was introduced to eliminate differences in the transmission of vertically and horizontally polarized light. All fluorescence polarization values were expressed in millipolarization units (mP).",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886366,37,BindingDB Database,,2015,None,
CHEMBL3954726,,0,504.41,2,5.27,BDBM192165,CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(C=O)Cc1ccc(Cl)cc1,Ki,'=',2000,nM,5.7,,344143,UO_0000065,11.3,0.23,0.43,6.23,FALSE,CHEMBL3887590,"Fluorescence Polarization (FP) Assay: Fluorescent polarization experiments were performed as follows. Briefly, the fluorescence polarization experiments were read on an Ultra Evolution 384-well plate reader (Tecan) with the 485 nm excitation and 535 nm emission filters. The fluorescence intensities parallel (Intparallel) and perpendicular (Intperpedicular) to the plane of excitation were measured in parallel perpendicular black 384-well NBS assay plates (Corning) at room temperature (20?? C). The background fluorescence intensities of blank samples containing the references buffer were subtracted and steady-state fluorescence polarization was calculated using the equation: P=(Intparallel Gintperpendicular)/(Intparallel+Gintperpendicular), and the correction factor G (G=0.998 determined empirically) was introduced to eliminate differences in the transmission of vertically and horizontally polarized light. All fluorescence polarization values were expressed in millipolarization units (mP).",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886366,37,BindingDB Database,,2015,None,
CHEMBL3799491,,0,577.64,2,7.47,6c,CCOc1ccc(-c2c(NC(=O)c3ccc(OC(C)C)cc3)c(C(=O)O)nn2-c2ccc(Oc3ccccc3)cc2)cc1,Ki,'=',301,nM,6.52,,,UO_0000065,11.29,0.21,-0.95,5.83,FALSE,CHEMBL3801199,Displacement of FAM-p53TAD peptide from N-terminal 8x His-tagged human MDM2 (25 to 108 residues) expressed in Escherichia coli BL21 (DE3) after 30 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3797039,1,Scientific Literature,J. Med. Chem.,2016,None,
CHEMBL3799627,,0,414.46,1,5.82,5g,CC(C)Oc1ccc(-c2cc(C(=O)O)nn2-c2ccc(Oc3ccccc3)cc2)cc1,Ki,'=',712,nM,6.15,,,UO_0000065,14.83,0.27,0.33,8.35,FALSE,CHEMBL3801199,Displacement of FAM-p53TAD peptide from N-terminal 8x His-tagged human MDM2 (25 to 108 residues) expressed in Escherichia coli BL21 (DE3) after 30 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3797039,1,Scientific Literature,J. Med. Chem.,2016,None,
CHEMBL3798868,,0,639.71,2,8.65,6g,CC(C)Oc1ccc(C(=O)Nc2c(C(=O)O)nn(-c3ccc(Oc4ccccc4)cc3)c2-c2ccc(OCc3ccccc3)cc2)cc1,Ki,'=',4470,nM,5.35,,,UO_0000065,8.36,0.15,-3.3,4.78,FALSE,CHEMBL3801199,Displacement of FAM-p53TAD peptide from N-terminal 8x His-tagged human MDM2 (25 to 108 residues) expressed in Escherichia coli BL21 (DE3) after 30 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3797039,1,Scientific Literature,J. Med. Chem.,2016,None,
CHEMBL378100,,0,474.43,0,4.83,3,CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1,Ki,'=',86,nM,7.07,,,UO_0000065,14.89,0.3,2.24,11.5,FALSE,CHEMBL866828,Binding affinity to MDM2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1138059,1,Scientific Literature,J. Med. Chem.,2006,None,
CHEMBL4281146,,0,638.16,2,7.2,"2c, Diastereomer B",O=C(O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC12CC3CC(CC(C3)C1)C2)N1C(=O)CC1c1ccc(OCc2ccccc2)cc1,Ki,'=',400,nM,6.4,,,UO_0000065,10.03,0.19,-0.8,5.73,FALSE,CHEMBL4262315,Inhibition of 5'-FAM-LTFEHYWAQLTS binding to N-terminal domain of recombinant human MDM2 expressed in Escherichia coli BL21(DE3) after 15 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4261503,1,Scientific Literature,MedChemComm,2017,None,
CHEMBL3925323,,0,618.13,2,6.66,BDBM192153,CCOC(=O)c1c(C(C(=O)NCc2ccccc2)N(Cc2ccccc2)C(C)=O)c2ccc(Cl)cc2n1C(=O)OC(C)(C)C,Ki,'=',1.7,nM,8.77,,344109,UO_0000065,14.19,0.27,2.11,8.2,FALSE,CHEMBL3887590,"Fluorescence Polarization (FP) Assay: Fluorescent polarization experiments were performed as follows. Briefly, the fluorescence polarization experiments were read on an Ultra Evolution 384-well plate reader (Tecan) with the 485 nm excitation and 535 nm emission filters. The fluorescence intensities parallel (Intparallel) and perpendicular (Intperpedicular) to the plane of excitation were measured in parallel perpendicular black 384-well NBS assay plates (Corning) at room temperature (20?? C). The background fluorescence intensities of blank samples containing the references buffer were subtracted and steady-state fluorescence polarization was calculated using the equation: P=(Intparallel Gintperpendicular)/(Intparallel+Gintperpendicular), and the correction factor G (G=0.998 determined empirically) was introduced to eliminate differences in the transmission of vertically and horizontally polarized light. All fluorescence polarization values were expressed in millipolarization units (mP).",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886366,37,BindingDB Database,,2015,None,
CHEMBL3259830,,0,476.36,0,4.79,BDBM50014092,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(Cl)cc1,Ki,'=',300,nM,6.52,,344145,UO_0000065,13.69,0.28,1.73,6.36,FALSE,CHEMBL3887590,"Fluorescence Polarization (FP) Assay: Fluorescent polarization experiments were performed as follows. Briefly, the fluorescence polarization experiments were read on an Ultra Evolution 384-well plate reader (Tecan) with the 485 nm excitation and 535 nm emission filters. The fluorescence intensities parallel (Intparallel) and perpendicular (Intperpedicular) to the plane of excitation were measured in parallel perpendicular black 384-well NBS assay plates (Corning) at room temperature (20?? C). The background fluorescence intensities of blank samples containing the references buffer were subtracted and steady-state fluorescence polarization was calculated using the equation: P=(Intparallel Gintperpendicular)/(Intparallel+Gintperpendicular), and the correction factor G (G=0.998 determined empirically) was introduced to eliminate differences in the transmission of vertically and horizontally polarized light. All fluorescence polarization values were expressed in millipolarization units (mP).",B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886366,37,BindingDB Database,,2015,None,
CHEMBL3960776,,0,574.52,2,5.59,BDBM112737,O=C(NC1CCC(O)CC1)[C@@H]1NC2(CCCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,Ki,'=',1,nM,9,,234012,UO_0000065,15.67,0.32,3.41,9.95,FALSE,CHEMBL3706032,"Binding Assay: The binding affinity of the MDM2 inhibitors disclosed herein was determined using a fluorescence polarization-based (FP-based) binding assay using a recombinant human His-tagged MDM2 protein (residues 1-118) and a fluorescently tagged p53-based peptide. The design of the fluorescence probe was based upon a previously reported high-affinity p53-based peptidomimetic compound called PMDM6-F (Garc?¡a-Echeverria et al., J. Med. Chem. 43: 3205-3208 (2000)).",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3638371,37,BindingDB Database,,2014,None,
CHEMBL4077946,,0,616.54,2,5.82,51,CS(=O)(=O)c1ccc(NC(=O)[C@@H]2NC3(CCCCC3)[C@@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)cc1,Ki,'=',29,nM,7.54,,,UO_0000065,12.23,0.25,1.72,7.22,FALSE,CHEMBL4011380,Inhibition of FAM-tagged p53-based PMDM6-F peptide binding to human recombinant His-tagged MDM2 (1 to 118 residues) after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4007507,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL3693987,,0,543.5,1,4.46,16,O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cncc(Cl)c1,Ki,'=',77,nM,7.11,,,UO_0000065,13.09,0.26,2.65,6.88,FALSE,CHEMBL4011380,Inhibition of FAM-tagged p53-based PMDM6-F peptide binding to human recombinant His-tagged MDM2 (1 to 118 residues) after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4007507,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL3693967,,0,519.4,1,3.21,10,CNC(=O)[C@@H]1NC2(CCN(C(C)=O)CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,Ki,'=',525,nM,6.28,,,UO_0000065,12.09,0.25,3.07,6.94,FALSE,CHEMBL4011380,Inhibition of FAM-tagged p53-based PMDM6-F peptide binding to human recombinant His-tagged MDM2 (1 to 118 residues) after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4007507,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL2396747,,0,397.91,0,4.22,10b,O=C(NC1CCCCC1)C(Cc1ccccc1)n1c(=O)[nH]c2cc(Cl)ccc21,Ki,'=',5000,nM,5.3,,,UO_0000065,13.32,0.26,1.08,7.92,FALSE,CHEMBL2400964,Binding affinity to MDM2 (unknown origin) expressed in Escherichia coli BL21(DE3) by HSQC NMR spectroscopic analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL2396572,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL3627748,,0,512.57,1,4.73,22,COc1ccc(-c2cn(CCC[C@H](NC(=O)OCC3c4ccccc4-c4ccccc43)C(=O)O)nn2)cc1,Ki,'=',710,nM,6.15,,,UO_0000065,12,0.22,1.42,5.32,FALSE,CHEMBL3629966,Inhibition of human MDM2 (17 to 125 residues) assessed as apparent inhibition constant for reduction in MDM2 interaction with FAM-LTFEHYWAQLTS-CONH2 peptide incubated for 30 mins by fluorescence polarisation assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3627641,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,None,
CHEMBL4168287,,0,635.03,2,8.71,1e,O=C(O)c1[nH]c2cc(Cl)ccc2c1C1C(=O)NCCCCCCCCCCCCCC(=O)N1Cc1ccc(Cl)cc1Cl,Ki,'=',5300,nM,5.28,,,UO_0000065,8.31,0.17,-3.43,5.15,FALSE,CHEMBL4135533,Displacement of 5'FAM-LTFEHYWAQLTS from recombinant human N-terminal MDM2 (1 to 118 residues) expressed in Escherichia coli BL21-CodonPlus(DE3)-RIL after 15 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130521,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4459244,,0,566.03,2,5.85,6c,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(OCc2ccccc2F)cc1,Ki,'=',740,nM,6.13,,,UO_0000065,10.83,0.21,0.28,5.49,FALSE,CHEMBL4362816,Displacement of 5'FAM-LTFEHYWAQLTS from human recombinant N-terminal domain of MDM2 (1 to 118 residues) expressed in Escherichia coli BL21 (DE3) cells measured after 15 mins by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4359887,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4451308,,0,626.94,2,6.48,"6m; Table S3, R4C1",CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(OCc2ccccc2Br)cc1,Ki,'=',70,nM,7.16,,,UO_0000065,11.41,0.24,0.67,6.4,FALSE,CHEMBL4362816,Displacement of 5'FAM-LTFEHYWAQLTS from human recombinant N-terminal domain of MDM2 (1 to 118 residues) expressed in Escherichia coli BL21 (DE3) cells measured after 15 mins by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4359887,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4537250,,0,548.49,1,4.91,31; MI-888,CC(C)(C)C[C@H]1NC(C(=O)N[C@H]2C[C@@](C)(O)C2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',0.44,nM,9.36,,,UO_0000065,17.06,0.35,4.45,10.34,FALSE,CHEMBL4352998,Inhibition of p53 protein binding to MDM2 (unknown origin) by western blot analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4350977,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL378100,,0,474.43,0,4.83,30; MI-5,CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1,Ki,'=',8500,nM,5.07,,,UO_0000065,10.69,0.22,0.24,8.25,FALSE,CHEMBL4352997,Inhibition of wild type p53 protein binding to MDM2 in human HCT116 cells by immunoblot analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4350977,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4546186,,0,501.97,2,2.81,40,CC(C)C[C@H](N[C@H](C(=O)NCc1ccccc1)c1c(C(=O)NO)[nH]c2cc(Cl)ccc12)C(=O)NO,Ki,'=',1.2,nM,8.92,,,UO_0000065,17.77,0.35,6.11,5.73,FALSE,CHEMBL4352998,Inhibition of p53 protein binding to MDM2 (unknown origin) by western blot analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4350977,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4440151,,0,562.51,2,5.3,35; SAR405838,CC(C)(C)C[C@H]1NC(C(=O)N[C@H]2CC[C@H](O)CC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',0.88,nM,9.06,,,UO_0000065,16.1,0.33,3.76,10.01,FALSE,CHEMBL4352998,Inhibition of p53 protein binding to MDM2 (unknown origin) by western blot analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4350977,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL2089203,,0,553.39,2,6.86,25,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(C(F)(F)F)cc2NC(=S)C1c1ccc(Cl)cc1,Ki,'=',91,nM,7.04,,,UO_0000065,12.72,0.27,0.18,12.01,FALSE,CHEMBL4352996,Inhibition of p53 protein binding to MDM2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4350977,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL409889,,0,575.56,2,5.48,10,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCCCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',39,nM,7.41,,,UO_0000065,12.87,0.26,1.93,10.08,FALSE,CHEMBL866340,Displacement of PMDM6-F from human recombinant MDM2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1148527,1,Scientific Literature,J. Med. Chem.,2006,None,
CHEMBL3355412,,0,576.54,2,5.84,14D,CCCC1(CCC)N[C@@H](C(=O)N[C@H]2CC[C@H](O)CC2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',105,nM,6.98,,,UO_0000065,12.1,0.24,1.14,7.71,FALSE,CHEMBL3380268,Binding affinity to human His-tagged MDM2 (1 to 118 residues) using FAM tagged p53-based peptide by fluorescence prolarization based protein binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3351696,1,Scientific Literature,J. Med. Chem.,2014,None,
CHEMBL566955,,0,538.45,1,3.35,"9, MI-221",CC(C)(C)C[C@H]1N[C@@H](C(=O)NC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,Ki,'=',15.4,nM,7.81,,,UO_0000065,14.51,0.3,4.46,7.06,FALSE,CHEMBL1039715,Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1154717,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL1233798,,0,462.34,1,6.75,WK23,O=C(O)c1[nH]c2cc(Cl)ccc2c1-c1c(-c2ccccc2)ncn1Cc1ccc(Cl)cc1,Ki,'=',916,nM,6.04,,,UO_0000065,13.06,0.26,-0.71,8.52,TRUE,CHEMBL3267618,Displacement of fluorescent P4 peptide from recombinant human MDM2 (18 to 125) expressed in Escherichia coli BL21(DE3) RIL expression system after 30 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259607,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL2089152,,0,503.38,2,5.98,8d,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(F)cc2NC(=S)C1c1ccc(Cl)cc1,Ki,'=',707,nM,6.15,,,UO_0000065,12.22,0.25,0.17,10.49,FALSE,CHEMBL2091389,Inhibition of MDM2 binding domain assessed as inhibition of p53 binding to MDM2 after 1 hr by fluorescence polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL2086350,1,Scientific Literature,Eur. J. Med. Chem.,2012,None,
CHEMBL2089208,,0,503.38,2,5.98,8n,COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(F)ccc2NC(=S)C1c1ccc(Cl)cc1,Ki,'=',89,nM,7.05,,,UO_0000065,14.01,0.29,1.07,12.02,TRUE,CHEMBL2091389,Inhibition of MDM2 binding domain assessed as inhibition of p53 binding to MDM2 after 1 hr by fluorescence polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL2086350,1,Scientific Literature,Eur. J. Med. Chem.,2012,None,
CHEMBL578028,,0,552.47,1,3.74,"5, MI-147",CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',0.6,nM,9.22,,,UO_0000065,16.69,0.34,5.48,8.33,FALSE,CHEMBL1039715,Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1154717,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL578238,,0,534.48,1,3.6,"6, MI-188",CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',4,nM,8.4,,,UO_0000065,15.71,0.32,4.8,7.59,FALSE,CHEMBL1039715,Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1154717,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL572933,,0,552.47,1,3.74,"7, MI-219",CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,Ki,'=',13.1,nM,7.88,,,UO_0000065,14.27,0.29,4.14,7.12,FALSE,CHEMBL1039715,Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL1154717,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL3290672,,0,588.42,2,7.12,7d,COc1cc(C(F)(F)F)ccc1CN1C(=O)C(OC(C)C)=C(C(=O)c2ccccc2)C1c1ccc(Br)cc1,Ki,'=',710,nM,6.15,,,UO_0000065,10.45,0.22,-0.97,11.01,FALSE,CHEMBL3294652,Binding affinity to MDM2 (unknown origin) assessed as inhibition of interaction with p53 after 1 hr by fluorescence polarization binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3286092,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL3265100,,0,386.84,1,5.38,1f,COc1ccc(/C=C2/C(=O)Nc3ccc(Cl)cc32)c(-c2ccc(C#N)cc2)c1,Ki,'=',150,nM,6.82,,,UO_0000065,17.64,0.33,1.44,10.99,FALSE,CHEMBL3271858,Binding affinity to MDM2 (1 to 118) (unknown origin) after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259813,1,Scientific Literature,Eur. J. Med. Chem.,2014,None,
CHEMBL4458635,,0,478.98,0,2.66,26,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)CCCN1CCOCC1,Ki,'=',4802,nM,5.32,,,UO_0000065,11.1,0.22,2.66,4.63,FALSE,CHEMBL4362816,Displacement of 5'FAM-LTFEHYWAQLTS from human recombinant N-terminal domain of MDM2 (1 to 118 residues) expressed in Escherichia coli BL21 (DE3) cells measured after 15 mins by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4359887,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL3260849,,0,582.48,2,6.37,YH300,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(OCc2ccc(Cl)cc2)cc1,Ki,'=',600,nM,6.22,,,UO_0000065,10.68,0.21,-0.15,5.57,TRUE,CHEMBL3267620,Binding affinity to MDM2 (unknown origin) assessed as inhibition of interaction with p53,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259607,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL3355421,,0,575.51,1,4.23,23D,O=C(NCCN1CCOCC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,Ki,'=',1.7,nM,8.77,,,UO_0000065,15.24,0.31,4.54,10.6,FALSE,CHEMBL3380268,Binding affinity to human His-tagged MDM2 (1 to 118 residues) using FAM tagged p53-based peptide by fluorescence prolarization based protein binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3351696,1,Scientific Literature,J. Med. Chem.,2014,None,
